docking_folder,PLANTS,rDock,smina,SMILES,pic50
5sdw_482,-97.1829,-68.8314,-9.05949,CCn1nccc1C(=O)Nc1cc2nc(-c3ccccc3)[nH]c2cc1C(=O)NC,7.949813650324639
5sdw_526,-95.4837,-70.5247,-9.27368,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1ccn(C)n1,6.9517485819093245
5sdw_558,-93.1212,-69.6335,-8.75693,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(C)nn1C(C)(C)C,6.024781024951152
5sdw_619,-94.5491,-69.3269,-9.25377,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc[nH]n1,6.408079896496112
5sdw_650,-100.204,-74.6236,-9.81944,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(C(C)(C)C)nn1C,6.940156482455419
5sdw_713,-98.9148,-77.879,-10.17277,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(C)n(C(C)(C)C)n1,7.120044414877251
5sdw_731,-95.4743,-75.3344,-9.63407,Cc1cc(C(=O)Nc2cc3[nH]c(-c4ccccc4)nc3cc2C(F)(F)F)n(C)n1,5.0
5sdy_1002,-63.206,-79.1582,-7.65916,CNC(=O)c1c(NC(=O)c2nc(COC)ccc2Nc2cncnc2)cnn1CCOC,7.547968096343187
5sdy_1047,-60.4637,-75.7638,-7.72332,CNC(=O)c1c(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cnn1CCOC,9.07974621576546
5sdy_1049,-72.8948,-71.94,-7.74167,CNC(=O)c1c(NC(=O)c2nc(COC)ccc2Nc2cncnc2)cnn1C,6.842383083195893
5sdy_1053,-74.9455,-69.5604,-7.85598,CNC(=O)c1c(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cnn1C,7.842482791467388
5sdy_1107,-60.2394,-72.3167,-7.6052,CCOC(=O)c1nnsc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,7.444497841286831
5sdy_1123,-69.6023,-75.3484,-7.88621,CNC(=O)c1c(NC(=O)c2nc(Cl)ccc2Nc2cncnc2)cnn1C,6.474718016275105
5sdy_614,-91.1383,-69.3742,-8.7519,O=C(Nc1cnn(Cc2ccccc2)c1)c1nc(C2CC2)ccc1Nc1cncnc1,7.159956669396506
5sdy_637,-67.7997,-84.6171,-7.94345,CNC(=O)c1c(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cnn1CC1CC1,6.592291352426496
5sdy_743,-82.7002,-68.4941,-8.77481,O=C(Nc1sccc1C(=O)N1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1,9.361510743045361
5sdy_853,-75.5538,-69.9648,-7.97044,CNC(=O)c1c(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cnn1CCC(F)(F)F,6.693628592361956
5sdy_944,-64.419,-74.5026,-7.43628,COCCn1ncc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)c1C(=O)N(C)C,7.899181604268462
5sdz_1001,-82.705,-70.0046,-8.63791,CNC(=O)c1nn(-c2ccccc2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,5.729422239318764
5sdz_611,-83.8658,-80.6983,-8.66256,CNC(=O)c1nn(CCOC)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,7.040887026575774
5sdz_930,-75.7137,-85.2486,-8.44876,Cc1ncc(Nc2cncnc2)c(C(=O)Nc2cn(C)nc2C(=O)NCC(C)(C)O)n1,7.0990760204777565
5se0_103,-98.0289,-76.1083,-10.09018,O=C(Nc1cc(-c2ccccn2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,8.64723880827617
5se0_107,-97.1869,-85.243,-9.87257,CCc1ccc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1,9.006123085058787
5se0_284,-90.3519,-78.4394,-9.9027,O=C(Nc1cc(-c2ccccc2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,6.914845048453201
5se0_41,-95.6387,-84.5698,-10.07245,CCOC(=O)Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,8.427360702957186
5se0_459,-84.1727,-81.599,-9.52526,COc1ccc(-c2nnc(NC(=O)c3nc(C4CC4)ccc3Nc3cncnc3)s2)cc1,5.74797252895581
5se0_53,-93.7445,-84.3215,-9.86463,COCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,9.742321425130816
5se0_6,-100.311,-88.028,-10.86155,O=C(Nc1cc(-c2ccc3ccccc3n2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,10.04970720667502
5se0_642,-83.099,-82.029,-8.849,O=C(Nc1ccnn1CC(F)F)c1nc(C2CC2)ccc1Nc1cncnc1,7.341626047239485
5se0_69,-100.086,-81.2507,-10.1624,O=C(Nc1cc(-c2ccc(Cl)cn2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,8.798329820353418
5se0_77,-99.6174,-81.9093,-10.33064,O=C(Nc1cc(-c2cccc(Cl)n2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,8.85078088734462
5se0_797,-83.7766,-74.8177,-9.74574,O=C(Nc1nnc(-c2ccccn2)o1)c1nc(C2CC2)ccc1Nc1cncnc1,5.587909536759456
5se0_8,-108.105,-82.5613,-10.79085,O=C(Nc1cc(-c2ccccn2)nn1CC1CCCC1)c1nc(C2CC2)ccc1Nc1cncnc1,8.950007143079857
5se0_860,-73.2057,-79.0236,-8.69631,O=C(Nc1ccnn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,7.307364553449835
5se0_868,-78.1643,-72.8645,-7.87321,COCCn1nccc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,7.366622452779459
5se0_91,-93.3067,-82.9935,-9.41465,COCc1ccc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1,8.280585840297405
5se1_1014,-91.0874,-71.1438,-8.53892,CNC(=O)c1nn(CCC(F)(F)F)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,6.8266855024850255
5se1_1020,-98.4112,-68.351,-8.71653,CN(C)C(=O)c1nn(CC(F)(F)F)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,6.474134051226964
5se1_1023,-89.0679,-67.8627,-8.16649,COCCn1cc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)c(C(=O)N(C)C)n1,6.904823672006097
5se1_1056,-92.0618,-64.5877,-8.3092,CNC(=O)c1nn(CC2CC2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,6.305226380110555
5se1_1080,-90.3641,-68.7349,-8.69871,Cn1cc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)c(C(=O)N2CCC2)n1,7.479222989966992
5se1_1081,-95.561,-66.1108,-8.45825,CNC(=O)c1nn(CC(F)(F)F)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,6.855039924322437
5se1_1085,-94.9668,-66.3606,-8.51399,CN(C)C(=O)c1nn(C)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,7.501317353242983
5se1_1087,-64.3548,-70.0425,-8.02033,Cn1cc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)c(C(=O)NC2CCC2)n1,8.506402550999473
5se1_1091,-65.9665,-70.7249,-7.75311,Cn1cc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)c(C(=O)NC2CC2)n1,8.509339346643863
5se1_1097,-84.5427,-71.2219,-8.39034,O=C(Nc1cnn(-c2ccccn2)c1)c1nc(C2CC2)ccc1Nc1cncnc1,7.261528629739718
5se1_1103,-92.3833,-67.8514,-8.79309,CN(C)C(=O)c1nn(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,8.169025354115101
5se1_1122,-89.738,-83.8843,-7.15792,CNC(=O)c1nn(C)cc1NC(=O)c1nc(C2CC2)ccc1N(C)c1cncnc1,5.0
5se1_1141,-89.9883,-67.5152,-8.20054,CNC(=O)c1nn(C)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,8.33752549624969
5se1_1148,-88.2761,-68.8724,-7.9764,Cn1cc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)c(C(N)=O)n1,8.12234075588839
5se2_129,-117.032,-67.4494,-10.90787,Cc1nc(CCc2nc(-c3ccccc3)cn2C)nc2ccccc12,8.280172763168315
5se2_170,-114.242,-66.5149,-10.70447,Cn1cc(-c2ccccc2)nc1CCc1nc(O)c2ccccc2n1,7.224258518943578
5se2_180,-105.898,-71.4674,-11.52156,Cn1cc(-c2ccccc2)nc1/C=C/c1ccc2ccccc2n1,6.56619657553582
5se2_197,-107.568,-71.4465,-9.43797,COc1c(C)cnc(CCc2nc(-c3ccccc3)cn2C)c1C,6.166908374186513
5se2_233,-110.616,-65.1105,-9.54956,Cn1cc(-c2ccccc2)nc1CCc1cccc(N2CCCC2)n1,5.734650256100076
5se2_237,-109.82,-69.6083,-9.83281,Cn1cc(-c2ccccc2)nc1CCc1cccc(-c2ccccn2)n1,5.615918575567311
5se2_296,-117.419,-66.0922,-10.1323,Cn1cc(-c2cccc(CCc3nc(-c4ccccc4)cn3C)n2)cn1,5.186845910502952
5se2_328,-107.453,-64.0997,-9.65883,Cc1cccc(CCc2nc(-c3ccccc3)cn2C)n1,5.032717923338144
5se2_465,-94.7216,-69.4503,-9.47245,Cn1cc(-c2ccccc2)nc1/C=C/c1ncc(Cl)nc1Cl,6.083913119565402
5se2_467,-104.242,-62.9845,-8.98555,Cn1cc(-c2ccccc2)nc1CCc1ccccn1,5.0
5se2_48,-118.591,-74.8125,-9.77833,CC(C)n1ncc2cc(CCc3nc(-c4ccccc4)cn3C)ncc21,6.065864791007922
5se2_52,-122.55,-69.8985,-10.94719,Cn1cc(-c2ccccc2)nc1CCc1nc2cccc(Cl)c2c(=O)[nH]1,6.9127902115846345
5se2_543,-92.6751,-71.3875,-10.05032,Cn1cc(-c2ccccc2)nc1/C=C/c1cc(Cl)nc(Cl)n1,5.636422614639201
5se2_55,-114.005,-73.5303,-10.74186,CN(C)c1nc(CCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12,8.487715936718146
5se2_70,-119.949,-78.3092,-11.28363,Cc1cc(Cl)cc2c(=O)[nH]c(CCc3nc(-c4ccccc4)cn3C)nc12,7.090829230291962
5se2_701,-91.9443,-61.3256,-9.05492,COc1c(C)cnc(CCc2ccc3ccccc3n2)c1C,5.830727430131515
5se2_74,-121.328,-74.0645,-11.09492,Cc1cccc2c(=O)[nH]c(CCc3nc(-c4ccccc4)cn3C)nc12,7.830560701021057
5se2_93,-117.265,-73.627,-10.96449,Cn1cc(-c2ccccc2)nc1CCc1nc2ccc(Cl)cc2c(=O)[nH]1,8.03919637508823
5se2_94,-114.43,-71.5513,-11.0209,Cn1cc(-c2ccccc2)nc1CCc1nc(-c2ccccc2)cc(=O)[nH]1,6.005250528154994
5se3_101,-98.2373,-83.0843,-10.34751,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(NC2CC2)c1,8.213174311153443
5se3_116,-101.664,-82.4222,-10.20428,CC(C)Oc1cc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cc(Cl)n1,7.187527843324371
5se3_132,-101.146,-83.2541,-10.89825,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(N2CCCC2)c1,7.3163145854068095
5se3_167,-93.6585,-81.6883,-10.3677,CN(C)c1cc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cc(Cl)n1,6.880612126377664
5se3_199,-98.0069,-81.4795,-10.36629,CNc1cc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cc(Cl)n1,7.065688436587865
5se3_327,-102.672,-80.2688,-10.58063,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(Cl)c1,7.417663867594197
5se3_478,-97.4465,-73.9043,-9.48537,Cc1noc(C(F)(F)F)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1,5.0298659057863215
5se3_518,-98.9913,-70.2575,-10.11497,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cnc(Cl)c(Cl)c1,5.986262232329218
5se3_684,-95.1134,-68.7082,-9.83593,Cc1ccc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cn1,5.330474485012408
5se3_813,-91.9191,-67.4984,-9.40981,Cc1ncc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cn1,5.0
5se3_897,-93.593,-68.5774,-9.5344,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1ccc(Cl)nn1,5.0
5se4_1073,-99.3169,-74.1286,-9.58752,Cc1cc(C)n2nc(CCc3nc4c(Cl)cc(Cl)c(C)n4n3)nc2n1,6.557819793598247
5se4_1094,-97.6158,-69.7052,-8.7733,Cc1cc(C)n2nc(CCc3nc(N4CCC4)nn3C)nc2n1,7.038336907592649
5se4_1140,-95.4043,-70.2216,-8.3972,Cc1cc(C)n2nc(CCc3nc(N(C)C)nn3C)nc2n1,6.271477403592459
5se4_1144,-86.2202,-73.0807,-8.70916,Cc1cc(C)n2nc(/C=C/c3nc(N(C)C)nn3C)nc2n1,6.03419879370026
5se4_1158,-76.7568,-70.1966,-8.3909,Cc1cc(C)n2nc(/C=C/c3nc(Br)nn3C)nc2n1,5.0
5se4_1159,-82.4472,-66.7601,-7.72847,Cc1cc(C)n2nc(CCc3ncnn3C)nc2n1,5.0
5se4_687,-115.47,-74.0239,-10.23573,Cc1nc2nc(CCc3nc(-c4ccccc4)cn3C)[nH]c(=O)c2n1C,6.479258456395312
5se4_854,-111.905,-75.7393,-9.97086,Cn1cc(-c2ccccc2)nc1CCc1nc2c(cnn2C)c(=O)[nH]1,7.302857873724541
5se4_992,-104.958,-74.4564,-9.23979,Cc1cc(C)n2nc(CCc3cccc(N4CCCC4)n3)nc2n1,6.942371927044432
5se4_998,-105.093,-74.2776,-9.21632,Cc1cc(C)n2nc(CCc3cncc(N4CCCC4)n3)nc2n1,6.512016492641047
5se5_1000,-88.9588,-68.5139,-8.13137,CNC(=O)[C@H]1CCC[C@@H]1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,6.157285943336735
5se5_1015,-77.0107,-69.4184,-7.86655,O=C(c1nc(C2CC2)cnc1Nc1cncnc1)N1CCN(CCc2ccccc2)CC1,5.0
5se5_1018,-80.5793,-70.4082,-7.90211,CNC(=O)c1c(NC(=O)c2nc(OC)cnc2Nc2cncnc2)cnn1C,6.848827757543855
5se5_1022,-86.624,-65.093,-7.36408,CC(C)(C)CCNC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,5.630136154057672
5se5_1026,-88.3532,-68.5688,-8.40066,CNC(=O)c1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)n1,6.768466697329505
5se5_1037,-81.8269,-68.6722,-8.10843,COC(=O)c1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)n1,7.541452795803408
5se5_1038,-84.1754,-67.1128,-7.4877,O=C(NCC1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1,5.7980697582955605
5se5_1041,-87.2725,-66.7954,-7.97007,O=C(NC1CCCC1)c1nc(C2CC2)cnc1Nc1cncnc1,6.01520139361346
5se5_1044,-85.9384,-71.4385,-8.8386,O=C(c1nc(C2CC2)cnc1Nc1cncnc1)N1CCC(O)(Cc2ccccc2)CC1,5.0
5se5_1054,-87.3722,-68.8021,-8.27469,COc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)nn1,5.830172502643206
5se5_1061,-85.7603,-67.7723,-6.97406,CS(=O)(=O)CCNC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,5.7872585571587365
5se5_1083,-82.1398,-74.2961,-8.19234,O=C(Nc1ccnnc1)c1nc(C2CC2)cnc1Nc1cncnc1,6.539279517845017
5se5_1084,-87.1331,-69.9925,-8.24019,CC(=O)Nc1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)n1,7.600776378472729
5se5_1089,-81.9315,-67.1187,-7.89952,O=C(NCc1cocn1)c1nc(C2CC2)cnc1Nc1cncnc1,5.731304578574372
5se5_1099,-86.2953,-71.5697,-8.16459,CNC(=O)c1c(NC(=O)c2nc(C)c(C)nc2Nc2cncnc2)cnn1C,5.107290582184785
5se5_1104,-81.7011,-67.4958,-8.66137,O=C(c1ccccc1)N1CCN(C(=O)c2nc(C3CC3)cnc2Nc2cncnc2)CC1,5.0
5se5_1105,-85.2428,-68.2417,-8.18752,O=C(Nc1cccnn1)c1nc(C2CC2)cnc1Nc1cncnc1,6.565458240219187
5se5_1126,-80.936,-66.7639,-7.1401,O=C(N[C@@H]1C[C@H]2CC[C@@H]1C2)c1nc(C2CC2)cnc1Nc1cncnc1,5.965997570900582
5se5_1143,-80.8132,-65.1823,-7.17968,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CC2)cnc1Nc1cncnc1,6.103347039926498
5se5_1152,-78.1311,-66.3039,-7.95527,CNC(=O)c1c(NC(=O)c2nc(Cl)c(OC)nc2Nc2cncnc2)cnn1C,5.341426389015812
5se5_1154,-79.7395,-68.0216,-7.31536,O=C(NC1CCCCCC1)c1nc(C2CC2)cnc1Nc1cncnc1,5.982147285711576
5se5_202,-111.876,-82.7356,-10.11478,Cc1oc(-c2ccccc2)nc1CCNC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,8.512013668870607
5se5_329,-103.914,-71.1791,-8.93016,CCOC(=O)CCc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c(C(=O)NC)c1,9.231361898752384
5se5_451,-102.717,-78.0125,-9.2709,O=C(NCCN1CCc2ccccc2C1=O)c1nc(C2CC2)cnc1Nc1cncnc1,6.2409700923852895
5se5_481,-99.702,-73.9541,-9.17997,CNC(=O)c1cc(CCC(=O)O)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,9.413412695328244
5se5_510,-95.9327,-73.7071,-8.8999,CNC(=O)COc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c(C(=O)NC)c1,8.775801448271116
5se5_525,-101.621,-71.4322,-9.27799,CNC(=O)c1cc(OCC(C)(C)O)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,8.677987561417599
5se5_527,-94.1392,-72.9155,-8.70532,CNC(=O)c1cc(OCCO)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,9.111951736270367
5se5_536,-94.9493,-74.3719,-8.52851,CNC(=O)c1cc(OCCOC)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,8.994970079607732
5se5_544,-92.9372,-72.3627,-9.18905,O=C(Nc1ccc(F)c(F)c1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1,7.808800580298482
5se5_562,-95.3511,-75.2667,-8.8676,CN(C)C(=O)c1nc(C2CC2)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,7.6870825188836305
5se5_571,-101.532,-73.103,-9.31659,CC(=O)Nc1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1,7.460735664052544
5se5_572,-92.191,-72.4928,-8.39277,CNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cnn1CCC(F)(F)F,7.71282796528085
5se5_575,-95.1997,-80.2526,-9.36572,O=C(Nc1cccnc1C(=O)N1CCCCC1)c1nc(C2CC2)cnc1Nc1cncnc1,7.786083990355977
5se5_585,-97.1925,-73.5654,-9.26827,O=C(Nc1cccc(F)c1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1,8.776504059037604
5se5_588,-98.2384,-71.1685,-9.39948,CNC(=O)c1cc(C(F)(F)F)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,8.406492410668234
5se5_599,-98.6712,-73.7537,-9.34959,CNC(=O)c1cc(NC(C)=O)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,9.417936637088292
5se5_602,-101.229,-72.0258,-8.84701,CCOc1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1,7.592048529167327
5se5_613,-92.936,-69.6417,-8.77546,CN(C(=O)c1ncccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1)C1CC1,7.571557419720011
5se5_630,-90.4646,-74.6449,-8.84445,CCNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)sc2c1CCCC2,5.570765145293761
5se5_631,-98.3441,-75.1406,-8.17127,O=C(NCc1nccn1Cc1ccccc1)c1nc(C2CC2)cnc1Nc1cncnc1,6.563393740186334
5se5_638,-99.0771,-68.2492,-9.38161,O=C(Nc1ccc(F)cc1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1,8.344669441990659
5se5_667,-97.3129,-71.897,-9.23035,O=C(Nc1ccccc1C(=O)C1CCCCC1)c1nc(C2CC2)cnc1Nc1cncnc1,7.896059514916978
5se5_676,-91.866,-79.1648,-9.22646,O=C(Nc1cc(F)c(F)cc1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1,7.5507506217767375
5se5_689,-91.3799,-70.3372,-9.04976,CN(C)C(=O)c1cc(F)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,8.107126593111234
5se5_690,-89.2333,-73.4158,-8.67519,COc1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1C(=O)N(C)C,7.912218582190458
5se5_693,-97.4932,-70.4493,-8.66133,CN(C)C(=O)Cc1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1,7.012152430377012
5se5_694,-98.2606,-74.3539,-9.24198,O=C(Nc1cccc(OCC(F)(F)F)c1)c1nc(C2CC2)cnc1Nc1cncnc1,7.794011149247549
5se5_696,-92.4659,-76.1819,-8.70122,CCN(C)C(=O)c1ncccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,8.22666231594254
5se5_702,-89.4617,-73.569,-8.93827,CN(C)C(=O)c1c(F)cccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,9.037157318798755
5se5_703,-91.0704,-83.3679,-9.12187,O=C(Nc1cccc(N2CCC(O)CC2)c1)c1nc(C2CC2)cnc1Nc1cncnc1,7.9029510349888685
5se5_721,-97.2772,-63.6838,-9.00521,CC(C)Oc1cccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1,8.023879381700183
5se5_724,-93.9528,-77.0272,-9.15102,O=C(Nc1cccc(N2CCCCC2=O)c1)c1nc(C2CC2)cnc1Nc1cncnc1,7.341530688022118
5se5_732,-90.9854,-73.4831,-8.98459,O=C(Nc1cccnc1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1,8.256020134758158
5se5_734,-83.2291,-77.5107,-8.35376,O=C(Nc1cccc(S(=O)(=O)CCO)c1)c1nc(C2CC2)cnc1Nc1cncnc1,8.0694075115574
5se5_735,-76.3263,-72.7625,-8.37187,CN1CC(NC(=O)c2c(NC(=O)c3nc(C4CC4)cnc3Nc3cncnc3)cnn2C)C1,7.953426802337994
5se5_738,-93.0312,-67.7281,-9.09141,Cc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c(C(=O)N(C)C)n1,7.895240623329619
5se5_739,-92.2196,-72.5849,-8.61317,CNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cccnc2)cnn1C,7.947729403343251
5se5_741,-91.1218,-80.0308,-9.03051,CN1CCN(c2cccc(NC(=O)c3nc(C4CC4)cnc3Nc3cncnc3)c2)CC1.O=CO,7.149108815864076
5se5_747,-90.4831,-71.073,-9.01335,CN(C)C(=O)c1cc(F)c(F)cc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,7.552268458364025
5se5_750,-87.7259,-78.5522,-8.49591,CNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cnn1CC(F)(F)F,7.570545658279997
5se5_758,-86.2514,-78.1617,-8.38169,CNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cnn1CCO,8.493359694433497
5se5_766,-95.3883,-75.6264,-9.04905,CNC(=O)c1cc(C(C)C)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,8.939813735100302
5se5_777,-85.5293,-79.1328,-9.15897,O=C(Nc1cccc(N2CCS(=O)(=O)CC2)c1)c1nc(C2CC2)cnc1Nc1cncnc1,7.661125350698618
5se5_787,-88.4265,-72.7069,-8.31832,CN(C)C(=O)Cn1cc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cn1,6.172868620020076
5se5_789,-91.2311,-70.6081,-9.15552,CN(C)C(=O)c1ccc(F)cc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,7.71379061393399
